Project_Name,Project_Category,Project_Cost,Project_Length,Project_Summary,Reviewer_Name,Reviewer_Role,Industry_Type,Reviewer_Company_Size,Reviewer_Location,
Wireframe & Prototype Dev for Heath & Wellness Platform,Mobile App Development,"$10,000 to $49,999",May - June 2017,"Fueled offered UX/UI, branding, and design services. They developed the wireframes and aesthetic for a wellness platform.",Santana Iglesias & Nicole Knudson,"Co-Founders, NUMOVI, LLC",Internet,1-10 Employees,"New York, New York",
Branding & Pitch Deck for Social Commerce Retail Platform,Digital Marketing,"$10,000 to $49,999",Dec. 2017 - Jan. 2018,"Fueled created a Pitch Deck and did market research for an e-commerce platform. Branding services focused on name and logo design. While engagement finished January 2018, future projects are possible.",Joe C.,"Co-Founder, Grabbit",Retail,1-10 Employees,"Minneapolis-St. Paul, Minnesota",
Mobile App Dev for Classic Car Valuation Tool,Mobile App Development,Confidential,May 2017 - Ongoing,"Fueled designed and built an iOS app, providing all the coding and guiding the development of APIs, which were built in-house. They also assisted with publishing the app on the app store.",Steven Haas,"Director, Financial Services, Hagerty (U.S.)",Insurance,"501-1,000 Employees","Traverse City, Michigan",
MVP iOS Mobile App Dev for Nightlife Reservation Platform,Mobile App Development,"$50,000 to $199,999",Sept. - Dec. 2016,"Fueled planned, designed and built a bidding-style iOS mobile app for booking nightlife reservations, which included both front-end and back-end execution.",None,"Founder, Mobile App",Internet,1-10 Employees,"New York, New York",
UI/UX Design for Traffic Forecasting & Information App,UI/UX Design,"$50,000 to $199,999",Jan. - June 2017,"Fueled redesigned a white-label route-finding app by applying in-depth market and user research, improving the original aesthetic, and creating a fresh, modern look to support an engaging experience. ",Sil Scaglione,"General Manager, TrafficCarma",Transportation,11-50 Employees,"Philadelphia, Pennsylvania",
Mobile App Dev Discovery Process for Education Association,Mobile App Development,"$50,000 to $199,999",July 2016 - Feb. 2017,"Fueled directed a mobile app review to explore development concepts and feature options, conducting a robust discovery process through brand research, industry trends, and MVP suggestions.",None,"Contract Director, Education Association",Higher Education,51-200 Employees,"Washington, District of Columbia",
Development for Micro Donation Platform,Development,"$200,000 to $999,999",None,Fueled was hired to build a mobile micro-donation iOS application.,None,"COO, Micro Donation Platform",Computer Software,1-10 employees,"New York, New York",
Application Development for Toy Company,Development,"$200,000 to $999,999",None,Fueled was hired to build an iOS application for a UK based company that would support their existing hardware.,Soumyadip Rakshit,"CEO, MysteryVibe",Consumer Electronics,11-50 employees,"London, United Kingdom",
iOS App Development for Tourism Startup,Development,"$50,000 to $199,999",None,Fueled developed and designed a tourist-specific app for the iOS platform that launched in early 2016.,None,"Founder, Tourism Startup",Information Technology ,1-10 Employees,Boston Metro Area,
Native Mobile App Dev for Life Insurance Company,Mobile App Development,"$200,000 to $999,999",May - Dec. 2017,"Intellectsoft built native iOS and Android apps from scratch. They integrated backend systems and third-party partners, including user authentication and payment processing. More features are in the works.",Henrik Andersson,"IT Project Manager, Euro Accident",Insurance,51-200 Employees,"Stockholm, Sweden",
Customer Communication Platform Dev for Startup,Custom Software Development,"$10,000 to $49,999",May 2016 - Dec. 2017,Intellectsoft developed and launched a complex customer service platform with third-party integrations. They also provided QA testing and maintenance.,Pavel Pavlenko,"Co-Founder & COO, HelpCrunch",Computer Software ,11-50 Employees,"Palo Alto, California",
Web App Dev for Construction Project & Risk Management Tool,Custom Software Development,Confidential,Dec. 2006 - Ongoing,"With few software solutions for construction business owners and project managers on the market, Intellectsoft developed a risk management app to sequence projects and establish future governance processes.",None,"Senior Manager, Consulting Firm",Construction,11-50 Employees,"New York, New York",
e-Commerce Gamification Development for Platform,Development,"$200,000 to $999,999",None,Intellectsoftdeveloped an e-commerce app and the backend infrastructure to support it. The app integrates the client's blockchain into a Chinese e-commerce shopping network.,None,"Program Manager, Holding Company",Financial Services,11-50 Employees,Hong Kong,
Backend Development for Geolocation Mobile App,Mobile App Development,"$200,000 to $999,999",Aug. 2016 - Feb. 2017,Intellectsoft built a cached MongoDB database to provide a high-performance backend system for a mobile platform. The database provides support for an increased amount of platform traffic and users.,None,"CEO & Co-Founder, Geolocation Platform",IT Services,11-50 Employees,San Francisco Bay Area,
App Development Resources for Puzzle Game,Design,"$10,000 to $49,999",2016,"Though not involved with development, Intellectsoft provided 2D artwork for many fantastical characters included in a mobile game.",Tim Lonnqvist,"Lead Designer, Small Giant Games",Gaming,1-10 Employees,"Helsinki, Finland",
Mobile Implementation for Online SEO Tool,Mobile App Development,"$10,000 to $49,999",Nov. 2016 - Feb. 2017,Intellectsoft delivered a mobile implementation of the client's online SEOtool. They moved an extensive set of functionality from a web interface to a mobile app with a user-friendly interface.,Julia Karnaukh,"Head of Marketing, SE Ranking",Marketing ,11-50 Employees,"Palo Alto, California",
Multi-Media Application Development for Startup,Development,"$50,000 to $199,999",None,"This partnership consisted of two projects. First, Intellectsoft delivered a camera app which syncs tablets to DSLR cameras. Secondly, they integrated systems between two of the client's suppliers.",Juan Emilio Yanes,"Founder, Ztadium Studios",Information Technology ,110 Employees,"Santo Domingo, Dominican Republic",
Application MVP for Money Transfer Services Company,Development,"$200,000 to $999,999",None,"Based off of a set of requirements and designs, Intellectsoft leadthe development of the backend of this platform in order to assist the client in delivering a minimum viable product.",None,"CEO, Financial Services Company",Financial Services,1-10 Employees,"San Francisco, California",
Web Application for Project Management Consulting Firm,Development,"$200,000 to $999,999",None,"Intellectsoft developed a web application, provided Amazon Web Services support andgathered UX feedback to modernize this once Excel-based process.",None,"Senior Manager, Management Consulting Firm",Business Services,1-10 Employees,"New York, New York",
Dev Staff Partnership for Cybersecurity Firm,Development,"$200,000 to $999,999",Nov. 2016  Ongoing ,"ELEKS offers development services for a cybersecurity company where they work on cloud-based systems. Developers work on the front- and backend using Node.js, MongoDB, and Angular. They also offer QA and UI.",Eran Alsheh,"CTO, CyberProof",Computer & Network Security,"10,000+ Employees",Israel,
Big Data Dev for B2B Platform,BI & Analytics,"$1,000,000 - $9,999,999",Oct. 2017 - Ongoing,"ELEKS assists with staff augmentation on an ongoing basis, generally providing data science experts and developers on an as-needed basis. Theyve helped with a variety of tasks related to data aggregation.",None,"CEO, B2B Supply Chain Firm",IT Services,11-50 Employees,Germany,
QA Testing for Software Company,Application Testing,Confidential,Jan. 2016 - Ongoing,"Using TestLink, ELEKS performs manual and ad hoc QA testing for desktop and cloud-based products. They'realso managing the automation of manual tests.",None,"Director of Desktop Engineering, Software Firm",Computer Software,201-500 Employees,Ireland,
Team Augmentation for Automotive Tech Firm,Custom Software Development,"$200,000 to $999,999",Mar. 2004 - Ongoing,"Elekswas hired to supply dev resources during periods of increased demand. The success of their involvement has led to an exclusive, ongoing staffing arrangement.",None,Senior Manager,Computer Software,5001-10000 Employees,"Portland, Oregon",
Long-Term Staffing Engagement for Reinsurance Firm,Custom Software Development,Confidential,Mar. 2001 - Ongoing,Eleks was first hired to support SQL database efforts and their performance then led to further dev and design. The engagement remains ongoing.,None,Managing Director of Product Development & Applied Research,Insurance,1001-5000 Employees,Greater Minneapolis-St. Paul Area,
Enterprise App Development for Financial Services Firm,Custom Software Development,Confidential,None,ELEKS was brought on board sixteen years ago to add cost-efficient resources to the development team. There are between 7 to 50 developers working on any project.,None,"Principal Analyst, Financial Software Provider",Financial Services,501-1000 Employees,Boston Metro Area,
Ongoing Development and Consulting for Mobile Software Firm,Custom Software Development,Confidential,2001 - Ongoing,ELEKS provides overflow mobile application development support for third party clients during high demand periods.,None,"President, IT Firm",IT Services,1-10 Employees,"Charlotte, North Carolina",
.NET Development for Financial Tech Firm,Custom Software Development,"$200,000 to $999,999",2011 - Ongoing,ELEKS initially served as an emergency resource for overflow development work during peak periods. The team now focuses on building a product suite of MVC web apps using Microsoft .NET.,None,"Head of Development, Financial Technology Firm",IT Services,51-200 Employees,"London, United Kingdom",
Integrated QA Team for Aviation Software Firm,Application Testing,Confidential,2013 - Ongoing,ELEKS conducts manual and automated quality assurance testing to maintain software quality. They also write technical documentation for a user manual and online help section.,None,"Head of QA & Support, Mint Media Interactive Software Systems",IT Services,1-10 Employees,"Kiel, Germany",
Offshore Mobile & Web Development for Computer Software Firm,Development,"$1,000,000 - $9,999,999",None,"ELEKS provides support to expand mobile development capabilities. They offer end-to-end product development, new product ideas, and thought leadership as well as traditional services like QA/QC.",None,"Co-founder, Computer Software Firm",Computer Software,51-200 Employees,San Francisco Bay Area,
iOS Mobile App Dev for Aquaculture Company,Mobile App Development,Confidential,June - Dec. 2017,"Zco built an environmental data analytics and visualization app for iOS. The software maximizes existing data assets and gathers useful new metrics. Having found new uses, the team will develop it further.",Daniel Ward,"President, Ward Aquafarms, LLC",Aquaculture,1-10 Employees,"North Falmouth, Massachusetts",
Hybrid Mobile App Dev for Swimming Pool & Spa Manufacturer,Mobile App Development,"$50,000 to $199,999",Dec. 2017 - Ongoing,Zco built a hybrid mobile application that iscompatible with iOS and Android. The app lets users create a product catalog based on various search parameters.,Christine Schaeffer,"VP of Administration, Meissner Mfg. Co., Inc.",Manufacturing,1-10 Employees,"Los Angeles, California",
Mobile App Dev for Storybook Gaming Application,Mobile App Development,Confidential,Oct. 2016 - Jan. 2018,"Zco built an animated iOS app game that included dialogue, voice over and original music. They also provided marketing, SEO expertise, and promotional content for the apps launch and subsequent performance.",Aliya LeeKong,"Founder, ALK Ventures, LLC",Internet,1-10 Employees,"Brooklyn, New York",
Mobile App Dev for Electrical Connector Manufacturer ,Mobile App Development,"$10,000 to $49,999",Nov. 2016 - June 2017,Zco designed and built an iOS and Android app to highlight the products of an electrical connector manufacturer. The solution includes detailed guidelines for installation and best practices.,None,"Sr. Product Manager, Manufacturing Company",Electronic Manufacturing,"501-1,000 Employees","Boston, Massachusetts",
BLE Mobile App Dev & Web Dev for Smart Accessories,Mobile App Development,Confidential,Aug. 2017 - Ongoing,Zco designed and built native mobile apps for smart accessories. The product allows users to easily alert emergency services with their wearable device. Zco also provided website development and marketing help.,None,"Co-Founder, Wearable Tech Company",Consumer Electronics,1-10 Employees,"Boston, Massachusetts",
Mobile App Dev for Academic Medical Center,Mobile App Development,Confidential,Sept. 2016 - Ongoing,Zco built the front- and backend of native iOS and Android apps to specifications. Customized features and sensor integration allows health researchers to gather additional data through user interaction.,John Torous,"Co-Director, Digital Psychiatry Program, BIDMC",Hospital & Health Care,"5,001-10,000 Employees","Boston, Massachusetts",
Mobile App Dev for 3-D Model Technology,Mobile App Development,Confidential,Jan. 2016 - Ongoing,"Zco helped integrate a cross-platform solution using Unity with an existing iOS app. They assisted with systems analysis, design, creation of the 3D visualization solution, and then integration.",None,"Software Engineering Manger, IoT Company",Sports,51-200 Employees,"San Diego, California",
App Development for Executive Coaching and Workshops,Development,"$10,000 to $49,999",None,Zcostepped in for this client to deliver a cloud-based application and payment system after her prior 4 developers could not successfully complete the project.,Claudyne Wilder,"Owner, Wilder Presentations",Business Services,1-10 Employees,"Boston, Massachussetts",
App Development for Automotive Company,Development,"$10,000 to $49,999",None,"Zcodelivered on the development side of this iOS and Android mobile platform, following the specifications and design provided by the client.",None,"Software Manager, Auto Parts Manufacturer",Manufacturing,51-200 Employees,"Los Angeles, California",
App Development for Tax Aggregator App Startup,Development,"$10,000 to $49,999",None,Zcobuilt a cross-platform app that tracks and stores sales tax information. They took the client's storyboard and successfully delivered on the design and concept.,Mike Moreau,"President, SalesTaxTracker.com",Information Technology ,1-10 Employees,"Stratham, New Hampshire",
Web & Mobile App Dev for Payment Processing Software,Development,"$200,000 to $999,999",Sept. 2016 - Ongoing,Appster designed and developed a B2B white-label mobile software for an auto payment processing startup to facilitate communication between borrowers and loaners.,None,"CEO, Payment Processing Company",Financial Services,1-10 Employees,"Fort Worth, Texas",
Mobile App Dev for Game-Based Learning Platform,Mobile App Development,Confidential,Aug. 2016 - Jan. 2017 ,"Appster designed and developed a language learning app from scratch, beginning with fully scoping the project as a team effort. They also assisted with marketing and launch, working on enhancements as needed.",Veronica Borrett,"CEO, BAI Games",Computer Games,1-10 Employees,"Melbourne, Australia",
Mobile App Development for Cross Payment Platform,Mobile App Development,"$200,000 to $999,999",Mar. 2016 - Ongoing,"Appster developed a web-based, iOS and Android mobile application for a cross payment system. Their team also worked on graphics and helped to launch the mobile apps in the App Store and Google Play.",None,"Managing Director, ORDR",Hospitality,1-10 Employees,"Sydney, Australia",
iOS App Development for Social Activities Startup,Development,Confidential,Apr. 2016 - Jan. 2017,Appster provided an initial workshopwhere they outlined an Agile devtimeline. This divided the project into modules and offered the client clear insight into the development of their iOS app.,None,"Founder, Mittcute",Information Technology ,1-10 Employees,"Houston, Texas",
App Development for Health and Wellness Company,Development,"$50,000 to $199,999",None,"Appster was hired to build an application on iOS that focuses on well-being and gives users suggestions on how to be healthier. Appster provided Scrum masters, testers, and everyone else necessary to build the app from start to finish.",Alex Prate,"Founder, Realifex","Health, Wellness and Fitness",Small business ,"Sydney, Australia",
Development for Personal Trainer App,Development,"$50,000 to $199,999",None,"Appster provided a workshop designed to provide a knowledge-base for startups to turn their idea into a business, in addition to building a web-based product targeting personal trainers.",James Webster,"Founder, PT Pal Online",Information Technology ,1-10 Employees,"Melbourne, Australia",
Niche Travel Experiential App Development for Startup,Development,"$50,000 to $199,999",None,Appster was chosen to build a niche photo and travel iOS app due to their frankness and insight into turning the app into aprofitable business.,Andrew Lim,"Founder, Loztribe",Information Technology ,1-10 Employees,"Melbourne, Australia",
App Development for Australian Startup,Development,"$50,000 to $199,999",Dec. 2014 - July 2016,"Appster built an app for the client, prioritizing seamless integration and slick functionality and without exceeding the clients set timeline.",Lisa-Maree Hunt,"Founder, myVote",Information Technology and Services,1-10 Employees,Australia,
App Development for College-Focused Platform,Mobile App Development,"$200,000 to $999,999",None,"Appster helped to develop a college-specific social platform, with both an app and website, and has been the clients key resource for growth analysis.",Mohamed El Sewedy,"Cofounder, Turtle",Information Technology ,1-10 Employees,"Berkeley, CA",
Lifestyle App Development for Startup,Mobile App Development,"$50,000 to $199,999",None,Appster developed a sustainability lifestyle app for the iOS platform and has also helped the client further develop their business strategy.,Axel Passeck,"Managing Director, App Startup",Environmental Services,1-10 Employees,Australia,
iOS App Dev for Educational Video Service,Mobile App Development,"$10,000 to $49,999",Feb. 2018 - May 2018,Intuz oversaw development of an iOS application that hosts video content. They implemented various integrations and emphasized security with an Apple FairPlay DRM system.,None,"Technical Lead, Drmentors",None,1-10 Employees,India,
Web Dev for Organic Clothing Manufacturer,Web Development,"$10,000 to $49,999",May 2017 - Ongoing,Intuz provided a company website and developed an in-house customer management app for a clothing manufacturer. The apps development allows for future improvements to accommodate company growth.,None,"Owner, Sahabhu Organic",None,1-10 Employees,"Bangalore, India",
iOS Enhacements and Dev for PDF Converter App,Development,"Less than $10,000",Jan. - June 2018,"Intuz needed to update aPDF converter app for iOS and add new features, including a file organizer and a document editing function. Afterward, they needed to create a freemium selling structure for users.",Juan David Alzate Valencia,"Owner, PDF Ninja",Business services,1-10 Employees,Colombia,
iOS & Android Development for Activity & Sports Travel App,Mobile App Development,"$10,000 to $49,999",Dec. 2017 - May 2018,Intuzdeveloped an activity-and-sports-travel app foriOS and Android. They also helped design a logo.,Matthew Freeman,"Owner, Live 4 It Locations","Leisure, Travel & Tourism",1-10 Employees,"Bournemouth, England",
Mobile App Development for Touring Show Production,Mobile App Development,"$10,000 to $49,999",Jul. 2017 - Ongoing,"Intuz designed and developed an app (iOS and Android) that allows users to access show information, purchase tickets and merchandise, and upload audition videos and other content.",None,"Counsel, Traveling Show Company",Entertainment,11-50 Employees,"Los Angeles, California",
iOS App Development for Personalized Sports Stats,Mobile App Development,"$10,000 to $49,999",Aug. 2017 - Ongoing,"Intuz is developing a fantasy sports iOS mobile application that engages users with team statistics and interactive features, such as a social feed. They also created the apps logo.",None,"Founder, Fantasy Sports App",Software,Sole Proprietor,"Baton Rouge, Louisiana",
Video Streaming Apps for Medical School Exam Practice,Mobile App Development,"$10,000 to $49,999",June 2016 - Ongoing,"Intuz built two educational Android apps to help students with entrance exams. The first app features Q&A, and the second has protected video content, which includes download blocking for DRM-based streams.",Rajeev Vasani,"Co-founder, Dr. Vasani Academy",Education,1-10 Employees,"Thane, India",
iOS & Android App for Digital Gift Giving,Mobile App Development,"$10,000 to $49,999",Mar. - July 2017,Intuzis working through the development of an Android app that centralizes digital gift giving across platforms. The iOS version had to be abandoned per Apple's requirements.,Ashley Walsh,"Founder, Digi-Gift Australia",Software,1-10 Employees,"Melbourne, Australia",
Art Community Engagement Mobile Apps,Mobile App Development,Confidential,Feb. 2016 - Ongoing,"Intuz leads development for iOS, Android, and web apps created by an artist, from social media networking apps to exercise reminder tools. They also provide services in design and hosting, as well as promotion.",Patrick Mimran,Artist,Art,Sole Proprietor,"Paris, France",
Mobile App Development for Social Messaging Platform,Mobile App Development,"$50,000 to $199,999",2016 - Ongoing,Intuz provided full-stack development and technology consulting services for a social messaging application on both the iOS and Android platforms.,None,"Founder, Social Messaging Platform",Internet,1-10 Employees,United Arab Emirates,
App & Web Dev for Niche Sports Company ,Mobile App Development,"$50,000 to $199,999",Jan. 2018 - Ongoing,ChopDawg developed and designed an iOS application and website that enables its niche users to set up dynamic forms of virtual and real-life engagement.,Doug Mills,"CEO, Niche Sports Connect",Sports,1-10 Employees,"Boston, Massachusetts",
Web & Mobile App Devs for Cryptocurrency Company,Development,"$200,000 to $999,999",Jun. 2017 - Jan. 2018,"ChopDawg.com built a web app and native mobile apps for iOS and Android. Branding services complemented development, which also focused on UI design. The team used React and Laravel. ",None,"CEO, CCDB",Information Technology ,1-10 Employees,"Philadelphia, Pennsylvania",
App Development for Home Remodeling Firm,Mobile App Development,Confidential,Nov. 2017 - Ongoing,ChopDawg.com assists a home remodeling company with the creation of a CRM app to improve day-to-day operations. The solution will help coordinate client consultations and provide 3D modeling during projects.,None,"Marketing Manager, Home Remodeling Company ",Real estate,11-50 Employees,"Philadelphia, Pennsylvania",
Mobile App Dev for Cryptocurrency Services Startup,Mobile App Development,"$10,000 to $49,999",Oct. 2017 - Ongoing,"Using InVision, ChopDawg is developing the MVP of a mobile application to help investors manage their cryptocurrencies. The mobile app links multiple banks to one source of funding. The work is ongoing.",Drew Russell,"CEO & Founder, Sprouts",Financial Services,1-10 Employees,"Cleveland, Ohio",
MVP App Dev for Real Estate Company ,Development,"$50,000 to $199,999",July 2017 - Ongoing,Chopdawg developed a minimum viable product application for a real estate company. The development used React Native and included custom built APIs to connect to other data sources.,None,"Founder, Real Estate Company",Real estate,1-10 Employees,"Philadelphia, Pennsylvania",
Custom Web & App Dev for Large Truck Manufacturer,Development,"$200,000 to $999,999",Jan. - July 2016,Chop Dawg built a data management application to streamline processing and improve efficiency for a Freightliner truck stop company.,None,"CEO, Large Truck Manufacturer",Manufacturing,201-500 Employees,Pennsylvania,
Web Dev for Funeral Services Company,Web Development,"$50,000 to $199,999",Oct. 2016 - Ongoing ,Chopdawg was hired to develop adigital marketplace web application for the funeral services industry using technologies such as Wordpress and Java.,None,"CEO, Plan Life on Time (PLOT)",Funerary Services,1-10 Employees,"Los Angeles, California",
Multiple Devs for Music Platform,Mobile App Development,"$1,000,000 - $9,999,999",February 2017  Ongoing,"ChopDawg developed an iOS, Android, and web application. They also developed a website, established branding, created an administrative panel, and set up a server. They currently provide ongoing development.",None,"Founder, Music Platform",Information Technology ,1-10 Employees,"Philadelphia, Pennsylvania",
UI/UX Design for SaaS Firm,UI/UX Design,"$50,000 to $199,999",None,"ChopDawg joined an in-house team to quickly iterate and improve working-versions of aSaaS. The teamcreated and integrated a frontend design using HTML, CSS3, and Angular.",None,"Founder, SaaS Firm",Information Technology ,11-50 Employees,San Francisco Bay Area,
e-Commerce Dev for Dog Owners Platform,Mobile App Development,"$10,000 to $49,999",None,"ChopDawg provided marketing counsel and feature ideation for a WordPress site. They developed the backend and integrated e-commerce plug-ins into the frontend, for a seamless UX.",None,"CEO, Dog Owners Platform",Information Technology ,1-10 Employees,"Austin, Texas",
Mobile App Dev for Event Organizers Communications Solution,Mobile App Development,"$50,000 to $199,999",Jan. 2018 - Ongoing,"Droids on Roids refreshed an existing application with an improved UI, UX, and design. They also integrated new features like a CMS panel, an event-matching tool based on user behavior, and ticket sales.",Adrian Czyczerski,"CEO, Meeting Application",Internet,11-50 Employees,"Warsaw, Poland",
Native Mobile App Dev For e-Commerce Fashion Store,Mobile App Development,"$200,000 to $999,999",June 2017 - Feb. 2018 ,"Droids On Roids built native Android and iOS mobile apps and set up API connections. They aimed to streamline user experience, reduce search times, and boost conversions.",Maciej Dulski,"CEO, Zote Wyprzedae S.A.",Retail,11-50 Employees,"Warsaw, Poland",
Personal Photo and Video App Development ,Mobile App Development,"$200,000 to $999,999",Jun. 2016 - Jan. 2018,"Droid on Roids developed an application for a photo and video application. Working on backend server development and all iOS development, they based the product on provided documentation and wireframes.",Brain Gannon,"CEO, California Labs",Consumer Electronics,2-10 Employees,"San Francisco, California",
Multiple e-Commerce Mobile App Dev Projects,E-commerce Development,"$200,000 to $999,999",Mar. 2016 - Ongoing,Subcontracted resources from Droids On Roids assist in developing mobile apps for iOS and Android that support e-commerce sites. They are also responsible for testing and project management.,Felix Tschuck,"Certified Scrum Product Owner, e-sphere GmbH",IT Services,1-10 Employees,"Zurich, Switzerland",
Mobile App Dev for Wireless Earbuds,Mobile App Development,"$50,000 to $199,999",Apr. 2016 - June 2017,"Droids on Roids assisted in Android development for a Bluetooth connected device, and iOS followed soon after. They also worked on Bluetooth protocols from the Android app to the device.",None,"CEO, Wireless Earbuds Company",Consumer Electronics,11-50 Employees,"New York, New York",
iPhone App Dev for Mobile App Dev Firm,Mobile App Development,"$10,000 to $49,999",Nov. 2016 - Feb. 2017,"Droids on Roids developed a photo-editing mobile app (iOS) by executing a provided design, creating all functionalities, screen layouts, and monetization features using Swift in an outsourced engagement.",None,"Founder, Mobile App Dev Firm",Internet,11-50 Employees,Italy,
Mobile App Project for Polish Healthcare Company ,Mobile App Development,"$50,000 to $199,999",Dec. 2016 - Apr. 2017,Droids on Roids designed and developed iOS and Android apps to help healthcare providers calculate factors for patient treatment. The app had to be sleek and useable in any healthcare environment.,None,"Lead Developer, Polish Healthcare Company",Healthcare,11-50 Employees,Poland,
App Development for Product Development Studio,Mobile App Development,"$200,000 to $999,999",Feb. 2016 - Ongoing,Droids on Roids ported an iOS photo-sharing application to Android because the client has developer team augmentation needs.,None,"Project Manager, Product Development Studio",Produce Development,51-200 employees,New York City Metro Area,
Android App Development for Behaviorial Startup,Mobile App Development,"$50,000 to $199,999",Aug. 2015 - Ongoing,Droids on Roids developed an Android platform to allow users to design and develop their own Android applications with a focus on the European market.,None,"CEO, Behavorial Startup",Information Technology and Services,2-10 employees,"Stockholm, Sweden Area",
Mobile Development for Mobile Service,Mobile App Development,"$10,000 to $49,999",None,"Droids on Roids adapted an app for optimal performance in the Spanish market. The agencys responsibilities included making improvements, developing a web user interface, and creating an API.",None,"Operations Manager, Mobile Service Startup",Telecommunications,1-10 Employees,"Madrid, Spain",
Mobile App Dev for Financial Services Provider,Mobile App Development,Confidential,July 2017 - Ongoing,hedgehog lab augments an existing development team to build out a financial trading platform. They create new in-app features for both Android and iOS. Current initiatives include UX design and implementation.,None,"Head of IT Development, Financial Services Firm",Financial Services,"501-1,000 Employees","London, United Kingdom",
Native Mobile App Dev for Restaurant Discounts Platform,Mobile App Development,Confidential,Nov. 2016 - Nov. 2017,"hedgehog lab designed and built a mobile app for iOS and Android. Key features included search capabilities, billing functionality, and in-app payment processing. They also assisted with branding/logo design.",None,"Co-Founder, Mobile App",Internet,1-10 Employees,"London, United Kingdom",
Mobile App Design & Dev for 3D Scanning Tool,Mobile App Development,"$50,000 to $199,999",Oct. 2017 - Ongoing,"hedgehog lab designed an iOS app and web portal for the collaboration between a 3D scanning startup and a custom-fit helmet company. They provided drafting, designing, and assisted integration services.",David Odell,"Director, Business Development, NetVirta",Computer Software,11-50 Employees,"Boston, Massachusetts",
Mobile App Dev for Social Media Fan-Messaging Platform,Mobile App Development,Confidential,June 2016 - Ongoing,"hedgehog lab built a native app from scratch for iOS and Android, spearheading a robust discovery process before creating the products infrastructure, layout, and links. Theyre now making a hybrid version.",Jonathon Lobban,"Owner, Tempt App",Entertainment,1-10 Employees,United Kingdom,
Mobile App Dev for Freelancer Recruitment Platform,Mobile App Development,"$50,000 to $199,999",May 2016 - Ongoing,"hedgehog lab created a mobile platform to connect freelancers and clients, designing a detailed search feature and smooth onboarding processes. After the iOS launch, theyll assist with an Android version.",None,"Director, Hoshin Search Limited",Staffing & Recruiting,1-10 Employees,"London, United Kingdom",
Mobile App Dev for Sports Betting Platform,Mobile App Development,"$10,000 to $49,999",May 2016 - Ongoing,"hedgehog lab is building an iOS application aimed at simplifying the app-based sports betting experience. Key features include In-app purchases, complex statistics, exchange rates, and API management.",None,"Founder, Mobile Betting Application",Gambling,1-10 Employees,"London, United Kingdom",
Development for Insurance Trading Platform,Mobile App Development,"$200,000 to $999,999",Jan. 2017 - Ongoing,hedgehog lab developed an insurance-trading platform with a cloud-based backend. They brought an existing prototype to Azure and Xamarin technologies and provided AB testing.,Gavin Sewell,"CEO, Honcho Markets Ltd",Insurance,1-10 Employees,"Newcastle upon Thyne, United Kingdom",
Web Platform Development for Defense and Security Company,Mobile App Development,Confidential,Aug. 2016 - Ongoing,"hedgehog lab created a proof of concept for a web interface that would improve efficiencies for a systems integrator company. Their work was conceptual, exploring AR/VR opportunities in the productivity space.",None,"Product Design Engineer, Systems Integration Company",Defense & Space,"10,000+ Employees","Brighton, United Kingdom",
Mobile App Development for Consumer Products Company,Mobile App Development,"$50,000 to $199,999",Apr. 2016 - Dec. 2016,"hedgehog lab updated two mobile apps (Android and iOS) to improve functionality and visual design, transitioning to a timed interface and setting up a new server for data storage.",Davis Kent,"Digital Marketing Specialist, AkzoNobel",Chemicals,"10,001-50,000 Employees","Houston, Texas",
Mobile App Development for Digital Banking Platform,Mobile App Development,"$50,000 to $199,999",June 2016 - Ongoing,"hedgehog lab is developing a native iOS app from the UI and UX all the way through to implementation. After the iOS app has launched, hedgehog will develop an Android app and perform routine maintenance.",None,"CEO, Digital Banking Platform",Financial Services,11-50 Employees,"London, United Kingdom",
Mobile App Dev for Mobile Game Development Company,Mobile App Development,"$200,000 to $999,999",Apr. 2017 - Ongoing,Blue Label Labs designed and developed a leaderboard-based mobile game for Android and iOS. They also integrated several third-party services including social media and PlayFab.,Edward Hines,"Owner, GATBE, LLC",IT Services,1-10 Employees,"Fayetteville, Arkansas",
Firebase Web Services for Mobile Game Development Company,Cloud Consulting,"$10,000 to $49,999",Feb. 2017 - Ongoing,"Blue Label Labs provided backend engineering for a mobile game developer. They use Firebase to incorporate features such as databases, analytics, and push notifications.",Derek Arndt,"Founder, Battery Acid Games",Gaming,1-10 Employees,"La Jolla, California",
Native Mobile App Dev for Digital Radio Platform,Mobile App Development,"$50,000 to $199,999",Sept. 2017 - Jan. 2018,"Blue Label designed and built a mobile app (iOS and Android), incorporating existing backend APIs of an older app. They continue to update and maintain the app in its recent release.",None,"Product Manager, Digital Audio Service",Entertainment,"501-1,000 Employees","New York, New York",
Mobile App Dev for Nonprofit Women's Support Network,Mobile App Development,"$50,000 to $199,999",Apr. - Dec. 2017,Blue Label Labs built a hybrid app meant to replicate the accompanying website. They were the sole developers and completed the project from start to finish.,None,"IT Manager, Nonprofit Organization ",Nonprofit Organization Management,201-500 Employees,"New York, New York",
Mobile App Dev for Social Media Influencer Platform,Mobile App Development,"$50,000 to $199,999",Jan. - May 2017,"Provided with wireframes, Blue Label Labs built an iOS app from beginning to end. Responsibilities included development and design, with feature integration such as Stripe payment and direct messaging.",None,"Founder, Social Media App",Internet,1-10 Employees,"Chicago, Illinois",
