Project_Name,Project_Category,Project_Cost,Project_Length,Project_Summary,Reviewer_Name,Reviewer_Role,Industry_Type,Reviewer_Company_Size,Reviewer_Location
iOS Development for Mobile Food-Ordering App,Mobile App Development,"Less than $10,000",Oct. 2016 - Ongoing,"Bacancy Technology created an on-demand food delivery app from start to finish, producing an admin website and server database to support the mobile product (iOS). Next, they will assist with enhancements.",Mohamed Aborig,"Founder, Bringur",Food & Beverage,1-10 Employees,"Waterloo, Canada"
Custom Mobile & Web App Dev Projects for Development Firm,Development,"$10,000 to $49,999",2015 - Ongoing,Subcontracted engineers assist an in-house development team in creating specialized mobile apps and web platforms. Bacancy Technology also helps with bug resolution and product improvement.,None,"Managing Partner, Software Development Company",IT Services,1-10 Employees,"Columbia, Maryland"
Web App Dev for Tax Filing Platform,Web Development,"Less than $10,000",Feb. 2013 to Dec. 2013,Bacancy Technology turned old desktop software into an interactive web tool for making tax calculation easier. The project involved a MySQL database and approximately 250 pages of data.,Amjad Chaudhary,"Director, 123 E-Filing",Business Services,1-10 Employees,"London, United Kingdom"
Web Development & Design for Digital Marketing Agency,Web Development,"$10,000 to $49,999",Oct. 2014 - Ongoing,"Bacancy Technology provides WordPress development resources to augment the internal team and expand service offerings, assisting with diverse solutions and creating functionalities of varying complexity.",Chris Taylor,"Creative Director, MixTape Creative",Marketing & Advertising,1-10 Employees,"Ontario, Canada"
React Native Mobile Application Development for Wine Club,Mobile App Development,"Less than $10,000",Apr. 2017 - May 2017,"Based on an existing spec and API, Bacancy developed an iOS and Android app using React Native over the course of one month. The app is to be used for winery marketing, outreach, and club membership retention.",None,"Founder, Wineclubz",Computer Software,Startup,"Denver, Colorado"
App & Web Dev for Niche Sports Company ,Mobile App Development,"$50,000 to $199,999",Jan. 2018 - Ongoing,ChopDawg developed and designed an iOS application and website that enables its niche users to set up dynamic forms of virtual and real-life engagement.,Doug Mills,"CEO, Niche Sports Connect",Sports,1-10 Employees,"Boston, Massachusetts"
Web & Mobile App Devs for Cryptocurrency Company,Development,"$200,000 to $999,999",Jun. 2017 - Jan. 2018,"ChopDawg.com built a web app and native mobile apps for iOS and Android. Branding services complemented development, which also focused on UI design. The team used React and Laravel. ",None,"CEO, CCDB",Information Technology ,1-10 Employees,"Philadelphia, Pennsylvania"
App Development for Home Remodeling Firm,Mobile App Development,Confidential,Nov. 2017 - Ongoing,ChopDawg.com assists a home remodeling company with the creation of a CRM app to improve day-to-day operations. The solution will help coordinate client consultations and provide 3D modeling during projects.,None,"Marketing Manager, Home Remodeling Company ",Real estate,11-50 Employees,"Philadelphia, Pennsylvania"
Mobile App Dev for Cryptocurrency Services Startup,Mobile App Development,"$10,000 to $49,999",Oct. 2017 - Ongoing,"Using InVision, ChopDawg is developing the MVP of a mobile application to help investors manage their cryptocurrencies. The mobile app links multiple banks to one source of funding. The work is ongoing.",Drew Russell,"CEO & Founder, Sprouts",Financial Services,1-10 Employees,"Cleveland, Ohio"
MVP App Dev for Real Estate Company ,Development,"$50,000 to $199,999",July 2017 - Ongoing,Chopdawg developed a minimum viable product application for a real estate company. The development used React Native and included custom built APIs to connect to other data sources.,None,"Founder, Real Estate Company",Real estate,1-10 Employees,"Philadelphia, Pennsylvania"
Custom Web & App Dev for Large Truck Manufacturer,Development,"$200,000 to $999,999",Jan. - July 2016,Chop Dawg built a data management application to streamline processing and improve efficiency for a Freightliner truck stop company.,None,"CEO, Large Truck Manufacturer",Manufacturing,201-500 Employees,Pennsylvania
Web Dev for Funeral Services Company,Web Development,"$50,000 to $199,999",Oct. 2016 - Ongoing ,Chopdawg was hired to develop adigital marketplace web application for the funeral services industry using technologies such as Wordpress and Java.,None,"CEO, Plan Life on Time (PLOT)",Funerary Services,1-10 Employees,"Los Angeles, California"
Multiple Devs for Music Platform,Mobile App Development,"$1,000,000 - $9,999,999",February 2017  Ongoing,"ChopDawg developed an iOS, Android, and web application. They also developed a website, established branding, created an administrative panel, and set up a server. They currently provide ongoing development.",None,"Founder, Music Platform",Information Technology ,1-10 Employees,"Philadelphia, Pennsylvania"
UI/UX Design for SaaS Firm,UI/UX Design,"$50,000 to $199,999",None,"ChopDawg joined an in-house team to quickly iterate and improve working-versions of aSaaS. The teamcreated and integrated a frontend design using HTML, CSS3, and Angular.",None,"Founder, SaaS Firm",Information Technology ,11-50 Employees,San Francisco Bay Area
e-Commerce Dev for Dog Owners Platform,Mobile App Development,"$10,000 to $49,999",None,"ChopDawg provided marketing counsel and feature ideation for a WordPress site. They developed the backend and integrated e-commerce plug-ins into the frontend, for a seamless UX.",None,"CEO, Dog Owners Platform",Information Technology ,1-10 Employees,"Austin, Texas"
iPad App Dev for Public Relations Firm,Mobile App Development,Confidential,Jan. - May 2018,"Rantmedia createda unique iPad application developingthe technology that had never been used before. The app creates a volumetric hologram projection, letting users control the hologram.",Jamie Robbins,"Multimedia Director, Equinox Public Relations Ltd",Public Relations & Communications,11-50 Employees,"Cardiff, United Kingdom"
Mobile App Design and Dev for Marine Nonprofit,Mobile App Development,"$50,000 to $199,999",Mar. 2016 - Aug. 2017,Rantmedia handled the whole development process of a data collection app for a global marine conservation nonprofit. They focused on making the data submission process streamlined and user-friendly.,Hannah Pragnell-Raasch,"Program Specialist, Project AWARE",Nonprofit,11-50 Employees,"Sydney, Australia"
iOS & Android Dev for Educational Apps,Mobile App Development,"$50,000 to $199,999",Nov. 2014 - Ongoing,Rantmedia provided technical support to develop native iOS and Android educational apps.,None,"Founder, Education App Provider",IT Services,1-10 Employees,"Cardiff, United Kingdom"
App Dev & Gamification for Financial Society ,Mobile App Development,"$50,000 to $199,999",Aug. 2016 - Ongoing,"Rantmedia animated and developed a multi-level childrens game app for iOS and Android. While the app was never launched, this project aimed to engage a brand-new demographic, and engagement is ongoing",None,"Marketing Manager, Financial Society ",Financial Services,"1,001 - 5,000 Employees","Cardiff, United Kingdom"
iOS & Android Dev for Accounting App,Mobile App Development,"$50,000 to $199,999",Sept. 2016 - Ongoing,"Rantmedia provided mobile app development for iOS and Android, creating a simplified accounting system for small businesses. They worked alongside a branding company to create UX design and continue to provide support.",Gwion Thomas,"Co-Founder, ReceiptShed",IT Services,None,"Cardiff, United Kingdom"
Chatbot Dev for Homebuilding Enterprise,Development,"$200,000 to $999,999",Aug. 2017 - Ongoing,"Wizeline developed a custom chatbot for Android, iOS, and web in order to create a richer user experience. The chatbot utilizes Bluetooth beacon technology to provide contextual awareness.",None,"Lead Engineer, Home Construction Enterprise",Real Estate,"5,001-10,000 Employees",Miami Metro Area
Entertainment Application Development and Design,Custom Software Development,"$1,000,000 - $9,999,999",Oct. 2017 - Ongoing,"Wizeline is working to maintain and improve an entertainment companys content management system in an ongoing partnership. The team works with React and Node.js, while assisting with UI and monitoring tools.",None,"Senior Product Manager, Entertainment Company","Arts, entertainment & music",None,None
Graphic Design for Desktop Apps for Software Company,Web design,Confidential,Feb. 2003 - Aug. 2004,Sileria supplemented development efforts by building the graphical user interface for a desktop application.,None,"Development Manager, Software Company",Computer Software,11-50 Employees,California
Android App Dev for Social Media Mobile Platform,Mobile App Development,"$200,000 to $999,999",Aug. 2014 - Jan. 2017,"Sileria developed a native Android social media application, working on the app itself and additional tools for the platform.",Michael Sanchez,"Former Senior Software Engineer, Victorious",Internet,51-200 Employees,"Santa Monica, California"
App Dev for Map Based Search App,Mobile App Development,Confidential,May 2009 - Mar. 2010,"Using Java, Sileria developed a map-based local search app for BlackBerry while completely redesigning the Android version. They also heavily advised the wireframing process to ensure functionality.",Michelle Stone,"Former Principal Product Manager, Local Search Provider",Marketing & Advertising,"5,0001 - 10,000 Employees","Glendale, California"
Android Refactoring for Local Search Site,Mobile App Development,Confidential,Apr. - June 2010,"After the previous development team failed to deliver an acceptable app, Sileria refactored the entire Android platform. They worked closely with UX designers, fixed bugs, and designed new features.",Jeremiah Jacquet,"Former Lead Quality Assurance Engineer, Citysearch",Internet,201-500 Employees,"West Hollywood, California"
Custom Software for Internal Software Team,Custom Software Development,"$50,000 to $199,999",Aug. - Dec. 2005,Sileria took a lead on both frontend and backend development in building a desktop-based J2EE app using Java and PHP.,Kartik Money,"Former Principal Engineer, Gateway",Computer Hardware,"5,0001 - 10,000 Employees","Irvine, California"
VR Web Dev for Freelance Computer Networking Consultant ,Web Development,"$10,000 to $49,999",June - Dec. 2001,Sileria wrote APIsto integrate VR software with VR devices. They also used Java 3D API to develop an online 3D image gallery.,Kurt Wendt,"Owner, VR-FX",Computer Networking,1-10 Employees,"New York, New York"
Android App Dev for Online Media Firm,Mobile App Development,Confidential,Jan. 2011 - Nov. 2014,Sileria built the Android version of an existing iOS app. Native development focused on frontend design and testing. Pre-supplied information ensured identical appearance and function between the mobile apps.,None,"Former Lead Mobile Apps Engineer, Online Media Company",Online Media,51-200 Employees,"New York, New York"
Android Tablet App Dev for Consumer Electronics Company,Mobile App Development,"$200,000 to $999,999",Jun. 2015 - Ongoing,Sileria built an Android tablet-driven platform intended to enhance the retail customer experience. They used live prototypes for QA and optimization and also provided frontend and production design services.,None,"Global Retail UX & Product Lead, Electronics Retailer",Consumer Electronics,"1,001 - 5,000 Employees",California
Android App Dev for Development Firm,Mobile App Development,"$50,000 to $199,999",Dec. 2013 - Jan. 2015,"Sileria worked on Android development for a 3D application. They worked on the frontend and some of the backend, from design and documentation to wirefirmes.They also helped put together a software development kit.",None,"CEO, Development Firm",IT Services,1-10 Employees,"Los Angeles, California"
Redesign for Pet Insurance App,Mobile App Development,"$10,000 to $49,999",Jan. 2018 - Ongoing,"ORA redesigned and gamified an existing app with the main goal of increasing user engagement. Specifically, they created a dynamic dashboard for better displaying the apps features.",Kevin Ludden,"SVP of Marketing & Brand Strategy, Figo ",Pet Insurance,11-50 Employees,"Chicago, Illinois"
Web Dev & Branding for Consumer Social Engagement Platform,Web Development,"$10,000 to $49,999",2017,ORA provided branding advice and redesigned a website to reflect an updated business model. They collaborated with an in-house team on design and performed all of the coding work.,Tim Halfmann,"Founder, The Like Machine",Marketing & Advertising,1-10 Employees,"Chicago, Illinois"
Web Dev & Design for Creative Advertising Agency,Web Development,"$50,000 to $199,999",Jan. - Apr. 2016,"ORA created a modern, nontraditional showcase site that is heavily video-based. The frontend is broken into different verticals and the backend allows for easy internal updates. ",Norm Bilow,"Managing Director, The Escape Pod",Marketing & Advertising,11-50 Employees,"Chicago, Illinois"
iOS Mobile App Dev for Mailroom Staffing Company,Mobile App Development,"$50,000 to $199,999",Oct. 2016 - Feb. 2017,"ORA built up an iOS app based on existing web software to replace an existing app for a mailroom and print center staffing company. They did extensive QA, and helped train the new internal developer.",None,"Technology Director, Outsourcing Company",Facilities Services,51-200 Employees,"Chicago, Illinois"
Web Dev for Safety Products & Trainings Provider,Web Development,"$50,000 to $199,999",Apr. 2016 - 2017,"ORA developed a web platform that matches buyers and sellers of safety training, using algorithms and user profiles. The UX automates lead generation and backend fulfillment.",Felipe Reyes,"Director of Business Development, National Safety Council",Public Safety,"501-1,000 Employees","Chicago, Illinois"
Web & Mobile App Dev for Dry Cleaning Delivery Platform,Mobile App Development,"$50,000 to $199,999",2013 - July 2015,"ORA developed an application for iOS, Android, and the web to facilitate dry cleaning order scheduling, pickup, and delivery. They also managed the design and branding of the platform.",Dan Parsons,"CEO, DRYV",Consumer Services,11-50 Employees,"Chicago, Illinois"
Mobile App Dev of Self-Guided Walking App,Mobile App Development,"$10,000 to $49,999",Jan. 2017 - June 2018,The Distance App Developers designed and created native mobile apps for iOS and Android. They integrated a GPS tracking system into the app to enhance the users experience and provide additional functionality.,None,"Founder, Mobile App Company",Internet,1-10 Employees,"London, United Kingdom"
Android App Development for United Kingdom Startup,Mobile App Development,"$10,000 to $49,999",Sept. 2016 - May 2018,The Distance App Developers took a prototype applicationand application flowchartsto develop and design an intricate Android application.,None,"Founder, MD., Moneyserpent Ltd",Business Services,1-10 Employees,London
Mobile App Dev for Medical Charity,Mobile App Development,"$10,000 to $49,999",July 2017 - Feb. 2018,"The Distance designed and developed an app for iOS and Android, incorporating games and interactive elements for a broad and international audience.",None,"Director of Income Generation, Medical Charity",Nonprofit Organization Management,11-50 Employees,"York, United Kingdom"
Mobile App Dev for English Language Learning Platform,Mobile App Development,"$50,000 to $199,999",Aug. 2016 - Ongoing,"The Distance designed and developed an iOS and Android app from scratchbased on provided wireframes for English language learners. The app features multiple game elements, with 27 different activities.",Deborah Tricker,"Publishing Director, Richmond",Publishing,51-200 Employees,"Oxford, United Kingdom"
Application Development for Leadership Course,Development,"$200,000 to $999,999",Jan. 2013 - 2014,"The Distance was tasked with the development of an iOS and Android application written in Java and Objective-C. Additionally, the project involved UI/UX [user interface/user experience] design and CMS [content management system] development.",Simon Fuller,"Former Head of Development, Cirrus",Management Consulting,51-200 employees,"Cheshire, United Kingdom"
Application Development for Restaurant Platform,Development,"$50,000 to $199,999",2011 - Ongoing,"The Distance App Developers created the first iteration of an Android app with an SQL server backend. They assisted with concept and design, technical validation and feasibility, and MVP development.",Iksit Gadhia,"Director, ThinkTouchSee",Computer Software,1-10 Employees,United Kingdom
Application Development for Weight Management Organization,Mobile App Development,Confidential,Oct. 2014 - Ongoing,The Distance App Developersupdated and managed a weight management mobile application for bothiOS and Android platforms.,None,"Front-End Web Manager, Slimming World","Health, Wellness, & Fitness",201-500 Employees,United Kingdom
Application Development for Health Care Organization,Mobile App Development,"$50,000 to $199,999",2013 - Ongoing,"The Distance App Developers collaborated with in-house experts to develop several apps for iOS, Android, and Windows Phone. The apps provide clinical and non-clinical information for healthcare professionals.",None,"Project Manager, Health Care Organization",Hospital & Health Care,"5,001-10,000 Employees",England
Mobile Development for Destination Application,Mobile App Development,"$50,000 to $199,999",2015 - Ongoing,"The Distance App Developers developed a Smartphone mobile app for iOS and Android. The app bridges online and offline sales channels, integrates data capture elements, and is connected to the clients CRM.",Chris Raven,"Head of Ecommerce, Camden Market",Retail,11-50 Employees,"London, United Kingdom"
Web & Mobile App Dev for Online Retail e-Commerce Platform,Mobile App Development,"$1,000,000 - $9,999,999",Jan. 2014 - Ongoing,"Hidden Brains led development for an international shopping platform with varying currency, including iOS and Android apps, web apps, and various browser plugins. They also integrated a fraud alert system.",None,"Founder, Online Retail Platform",Retail,51-200 Employees,"San Francisco, California"
iOS/Android App Development for Startup ,Mobile App Development,Confidential,Jun. 2016 - Ongoing,Hidden Brains Infotech built a complicated startup fundraising app on iOS and Android. They provided vital advice to make the app better for users and easier to maintain at a lower cost.,None,"Co-Founder and CEO, SimpleFund",Information Technology and Services ,1-10 Employees,"Buffalo, New York"
Development Initiatives for Financial Social Network,Custom Software Development,"$50,000 to $199,999",Oct. 2015 - Ongoing,"Hidden Brains is building a startup's core product on desktop, iOS and Android. They work on a huge variety of development projects that pop up using many different programming languages.",None,"CEO, Financial Social Network",Social,11-50 Employees,New York City Metro Area
App Dev for Car Company ,Mobile App Development,Confidential,2013 - 2017,"Hidden Brains developed a classified ads app to connect buyers and sellers in the car sales, insurance, and related products space. The technologies used included Apache HTTP Server, Linux, PHP, and MySQL. ",None,"Owner, Car Company",Automotive,11-50 Employees,Mexico
Affiliate Program Website Development for Marketing Company,Web Development,"$50,000 to $199,999",Jun. 2016 - Ongoing,Hidden Brains InfoTech designed and developeda complex marketing platform that requireddifferent phases of work and technological expertise. They are currently working on phase three.,None,"CEO, Marketing Company",Advertising and Marketing,1-10 Employees,Toronto Metro Area
Dev for On-Demand Real Estate App ,Mobile App Development,"Less than $10,000",Nov. 2016 - Ongoing ,"In search of capable developers to help build an app (iOS/Android), which connects real estate agents with contractors, an entrepreneur outsourced specific action items to Hidden Brains.",None,"CEO and Co-Founder, Real Estate App",Technology ,1-10 Employees,"Virginia Beach, Virginia "
Website and Application Development for Game Manufacturer,Development,"$10,000 to $49,999",Dec. 2016 - Ongoing,Hidden Brains InfoTech built an iOS application for a gaming company and then was tasked with doing design and integrations with their eCommerce website.,None,"Owner, Game Manufacturer",Gaming,2-10 Employees,"Buffalo, New York"
Mobile App Development For Digital Marketing Company,Mobile App Development,"Less than $10,000",Nov. 2015 - Ongoing,"Hidden Brains InfoTech provides supplementary app development resources. They build iOS and Android apps, provide UI designs and branding guides, andmanage development timelines and requirements.",Luke Hart,"Director, STORM Advertising and Digital Media",Advertising & Marketing,1-10 Employees,"London, United Kingdom"
Web Development For Startup Legal Encyclopedia,Development,"Less than $10,000",Nov. 2015 - Jan. 2016,Hidden Brains InfoTech used WordPress tobuild a mobile-friendly legal encyclopedia. The site is composed of a homepage anda database of articles with citations and footnotes.,None,"Founder, Legal Encyclopedia and Research Site",Legal,1-10 Employees,None
Web Development For Startup Social Network,Web Development,"Less than $10,000",Aug. 2015 - Ongoing,"Hidden Brains InfoTech built a website for a platform that allows businesses to collect digital marketing data. The site ia responsive andmobile-friendly, and integrates e-commerce features.",Daniel Jadick,"Owner, Marketing Website",Marketing and Advertising,1-10 Employees,"Soquel, California"
iOS & Android Dev for Tailor-Made Logistics Solution Company,Mobile App Development,"$50,000 to $199,999",May 2016 - Feb. 2017,itCraft redesigned an iOS app to add new functionalities. These features included international currency and time zone converters. The team also built the Android version of the app.,Ronny Petersen,"IT Manager, Fracht AG",Logistics & Supply Chain,"501-1,000 Employees","Zurich, Switzerland"
CRM Development for Automotive Company,Custom Software Development,"$50,000 to $199,999",Sept. 2017 - Apr. 2018,itCraft analyzed for the business features required and developed a CRM system.,Piotr Nowak,"Co-Owner, TRONIK",Automotive,11-50 Employees,"Warsaw, Poland"
Mobile App Dev for Wholesale Services Company,Mobile App Development,"$50,000 to $199,999",June 2016 - Ongoing,itCraft developed a mobile application from scratch which replaces plastic virtual entry cards with barcodes. The app gives users promotions and information about how to find the products offered.,None,"Manager - Digital Department, Wholesale Market",Wholesale,"5,001-10,000 Employees","Warsaw, Poland"
iOS & Android App Dev for Multinational Corporation,Mobile App Development,"$10,000 to $49,999",Nov. 2016 - Ongoing,itCraft worked on iOS and Android mobile application development for a large multinational. They are currently building integrations with a database and web platform.,Arkadiusz Nocko,"Manager, Sodexo",Consumer Services,"10,000+ Employees","Warsaw, Poland"
Web Application Dev of Workflow for Accounting Services,Web Development,"$50,000 to $199,999",Mar. 2015 - Ongoing,itCraft utilized PHP to develop a web-based invoicing solution on the CentOS platform with a MySQL database. They currently provide monthly maintenance.,Michal Mazurek,"CFO, CDB",Business Services,11-50 Employees,Poland
IT Solution for Workout App,IT Consulting & SI,"$50,000 to $199,999", Jan. 2017 - Ongoing,itCraft developed and implemented a webpage-based IT solution to help users take notes about their workouts.,Radoslaw Paruzel,"Founder, Wodsup",Exercise and Training,None,Poland
Outsourced IT provider for Healthcare Geolocation Company,Development,"$10,000 to $49,999",Sep - Dec. 2016 ,itCraft developed a website backend and two mobile applications which allows patients to schedule appointments with doctors. They also assisted in the selection of service providers.,Szymon Horaczuk,"Co-Owner, Home Doctor",Medical Practice,1-10 Employees,"Warsaw, Poland"
Mobile App Dev for IT Conference Organizer,Mobile App Development,"$10,000 to $49,999",Nov. 2014 - Ongoing,itCraft developed and currently manages a website along with an iOS and Android application. They also provide ongoing consultation services.,Rafa Wjcicki,"Managing Director, Buena Vista Media Group",Public Relations and Communications,11-50 Employees,"Wrocaw, Poland"
Dev Partnership for Consulting Firm,Mobile App Development,"$200,000 to $999,999",Feb. 2016 - Ongoing ,"itCraft develops iOS and Android apps for a third-party clientele, including one with geolocation, payment and social integration, and business-monitoring functionality.",Jack Buskiewicz,"Director, AJJ Capital",IT Services,1-10 Employees,United Arab Emirates 
Coffee Machine App Dev for Software Solutions Company,Mobile App Development,"$50,000 to $199,999",Jan. - July 2017,"Subcontracted developers fromitCraft helped an internal team meet a tight deadline, collaborating on a mobile app that connects to coffee machines via Bluetooth technology.",None,Owner,IT Services,1-10 Employees,Poland
Native iOS App Dev for Transportation Fintech Company,Mobile App Development,"$10,000 to $49,999",Nov. 2017 - Feb. 2018,Rozdoum collaborated with an internal development team to create a native iOS app that enabled truckers to automatically send BOL receipts. They designed the wireframes and built the app as instructed.,Todd Lyon,"CTO, BAM Worldwide",Transportation,51-200 Employees,"Atlanta, Georgia"
Development Tool for Modeling Solutions Company,Custom Software Development,"$10,000 to $49,999",Dec. 2017 - Ongoing,"Using JavaScript, Rozdoum is customizing integrations for Atlassian tools including Jira and Confluence to support bidirectional traceability within modeling systems.",Christoph Bergner,"Owner, MID AG",IT Services,51-200 Employees,Germany
Custom Jira Dev for Software Company,Custom Software Development,"$10,000 to $49,999",May 2018 - Ongoing,Rozdoum built a Jira add-on that automated release notes production and integrated information with Confluence. They continue to assist with Jira system issues.,None,"CEO, Cider",Computer Software,1-10 Employees,"San Francisco, California"
Mobile App Dev for Real Estate Investing Platform,Development,"$10,000 to $49,999",May 2017 - Ongoing,Rozdoum created an advanced app that allows users to analyze potential real estate investments. They are continuing to work on a new version of the application.,None,Founder,Financial Services,1-10 Employees,Kuwait
Android Dev Prototype for Time Management Platform,Development,"Less than $10,000",June - Sept. 2016,Rozdoum developed a prototype application that manages time spent on Android cellular devices.,Travis Trussell,"Co-Founder, Brooklyn Berkeley Bridge",Leisure,1-10 Employees,"Dallas, Texas"
Mobile App Dev for Local Yacht Club,Mobile App Development,"$50,000 to $199,999",2013 - Ongoing,"Rozdoum created a social sailing route-tracking app to allow users to connect and share their experiences, assisting from early design flows to full-scale development. They now provide fixes and updates.",None,"Operational Manager, Yacht Club",Tourism,10-50 Employees,"New York, New York"
Atlassian Team Augmentation for Consulting Company,Development,"$50,000 to $199,999",None,"Rozdoum's scope of work has changed over the course of this 5+ month partnership during that time they have delivered utilizing JIRA, Confluence, and Bitbucket.",None,"CEO, IT Consulting Company",Business Services,1-10 Employees,"New York, New York"
Platform Development for Auction Service,Custom Software Development,"$200,000 to $999,999",2010 - Ongoing,Rozdoum is engaged to create a complex eBay-like auction platform that allows users to enjoy penny auctions and other variations.,None,Independent Consultant,Consulting,Sole Proprietorship,Greater New York City Area
Customer Acquisition Software for Marketing Company,Custom Software Development,"$200,000 to $999,999",None,"The client is a performance-based marketing company located in the Greater Boston area. The client needed a new platform to help track their customer acquistion analytics. This client chose Rozdoum over three other firms based on their competitive prices, analytical skills, and design capabilities. This client partnered with Rozdoum over eight months to deliver a final platform. Rozdoum is continuing to provide maintenance support while helping to identify potential new feature updates for the platform. The client says the platform's performance exceeds expectations.",None,"VP of Technology, Marketing Company",Marketing and Advertising,11-50 Employees,"Boston, MA"
Product Development For Software Modeling Firm,Custom Software Development,"$200,000 to $999,999",None,Rozdoum augmented a development team to deliver modeling software for B2B clients. The softwares purpose is business forecasting. Rozdoum offers varying resources depending on workflow.,None,"Founder and CEO, German Software Modeling Company",Computer Software,11-50 Employees,Germany
Website Re-Design for Consumer Research & Reviews Platform,Web design,"$200,000 to $999,999",Sept. 2016 - Dec. 2017,Five conducted a research-based redesign to increase a sites conversion rate. Their unique method included creative workshops for specific page categories. Internal design work supported enterprise marketing.,None,"Former VP & Head of Product, Consumer Research Platform",Consumer Reviews,51-200 Employees,"Tulsa, Oklahoma"
React Native Mobile App Dev for Workout Platform,Mobile App Development,"$10,000 to $49,999",Sept. 2017 - Feb. 2018,Five developed a fitness application for Android and iOS from scratch using React Native. They linked the app to an existing backend platform. A workout player is one of the apps key features.,None,"Co-Founder, Just Tempo","Health, Wellness, & Fitness",1-10 Employees,"New York, New York"
Digital Job Seeker Assistant Chatbot for Hospitality Company,Development,Confidential,June 2016 - Oct. 2017,"After providing an assessment of existing technologies, Five built a new artificial intelligence tool  a Chatbot. They developed a set ofrecommendations and did all of the development from start to finish.",None,"Former Senior Brand Manager, Hospitality Company",Hospitality,"10,000+ Employees","Washington, District of Columbia"
Mobile App Dev for Fraud Protection Platform,Mobile App Development,Confidential,June 2014 - Ongoing,"Five has done three updates on an existing mobile app that features asset management, password management, and search functions. Five also recently began providing UX design on a separate project.",None,"Director of Product Management & Development, Identity Theft Protection Services Provider",Financial Services,11-50 Employees,"Baltimore, Maryland"
Mobile App Dev for Global Technology Conference,Mobile App Development,"$200,000 to $999,999",Dec. 2015 - Dec. 2016,"After successful bug fixes and rebranding for legacy conference apps, Five designed and developed the next generation for iOS and Android. Features included scheduling, networking, discovery, and registration.",None,"Former Head of Product, Global Technology Convention",IT Services,51-200 Employees,"Dublin, Ireland"
App Dev for Mobile Marketing Platform,Mobile App Development,Confidential,Aug. 2013 - Ongoing,"Five created a mobile app SDK in iOS, developing a customizable solution for third-party publishers. They provide a continuous team of engineering resources for software and UI/UX design.",None,"VP of Engineering, Mobile Marketing Platform",Marketing & Advertising,201-500 Employees,New York Metro Area
Mobile App Development for Rosetta Stone,Mobile App Development,Confidential,Oct. 2015 - Feb. 2017,"Seeking improvements on their mobile app's user experience, the client partnered with Five to rebuild the app from scratch for both iOS and Android platforms, including its backend development and frontend design.",Phillip Dunne,"Head of Consumer Division, Rosetta Stone",Computer Software,1001-5000 Employees,"Arlington, Virginia"
Mobile and Web App Dev for Data Exchange Platform,Development,"$50,000 to $199,999",Mar. 2016 - Ongoing,"Using a product design sprint method, Five developed a gamified iOS and web app fora data exchange platform. The apps are currently beta testing.",None,"CEO/Founder, Computer Software Business",Computer Software,1-10 Employees,San Francisco Bay Area
UI/UX and Website Design for Financing Platform,UI/UX Design,"$10,000 to $49,999",None,FIVE inherited a web platform that lacked responsiveness. They took the platform provided and built a mobile-friendly site utilizing their expertise in UI/UX to create a design that is moreinformative for users.,Bhairav Patel,"CTO, PayMe ",Financial Services,11- 50 Employees,"Dublin, Ireland"
App Development for Education-based Summer Camp,Development,"$50,000 to $199,999",January 2016 - Ongoing,"Five was hired to build an iOS app that connects students at a summer camp, and helps keep them on schedule and informed on what they need to bring.",Bethany Sterner,"Product Development, Envision Experience",Education,51-200 employees,"Washington, District Of Columbia"
Development for a Financial Application,Mobile App Development,Confidential,Aug. 2017  Apr. 2018,"iD EAST developed a mobile app that provides direct access to both the Moscow Exchange trading system and clients personal accounts. The iOS version is complete, and the Android version is in progress.", Alexey V. Khorunzhiy,"CIO/ Open Broker, Otkritie Broker Joint Stock Company",Financial Services,None,"Moscow, Russia"
App Development for a Leasing Company,Mobile App Development,Confidential,Dec. 2017 - Apr. 2018,iD-EAST developed an iOS and Android app that provided content for an end-client.,None,"Head of Internet Projects Department, Sberbank Leasing",Business Services,None,"Moscow, Russia"
Mobile App Development for Electronic Manufacturing Company,Mobile App Development,"$10,000 to $49,999",2013 - Ongoing,"iDEAST partnered with a tech company for the purpose of developing a nativeiOS app. The agency created the screens and design, and also built a parallel Android app.",None,"Multimedia Director, Electronic Manufacturing Company",Electronic Manufacturing,"10,000+ Employees",Munich
Angular.JS Dev for Cloud-based License Management System,Custom Software Development,"$50,000 to $199,999",Sept. 2017 - Jun. 2018,"Konstant Infosolutions helped create a solution to help users manage all of their estates in a single cloud-based environment. The team build the program and its features using AngularJS, AWS, and MongoDB.",Sanjay Singh,"CEO, Cloudkontrol",Computer Software,1-10 Employees,"Surrey, United Kingdom"
Web and Mobile App Dev for Healthcare Startup,Custom Software Development,"$10,000 to $49,999",May 2017 - Ongoing,"Konstant is developing a multi-platform tool to enable digital communication between doctors and patients. The app will be available on both iOS and Android, as well as in a web-based environment.",Zaw Min Tun,"CEO, Myancare",Healthcare,1-10 Employees,Myanmar
Native App Development for Laundry Service Broker,Mobile App Development,"$10,000 to $49,999",Sept. - Dec. 2017,Konstant Infosolutions developed a native app for both iOS and Android that connects customers to on demand laundry service providers. They provided UI/UX design as well as backend development.,None,"Founder, Laundry Service App",Home Services,1-10 Employees,"Dubai, Saudi Arabia"
iOS Development for Nightlife App,Mobile App Development,"$10,000 to $49,999",Mar. 2017 - Jan. 2018,Konstant Infosolutions created the iOS version of a nightlife-oriented social media app. They developed the entire product and included a backend and administrative panel to manage it.,Ryan Ward,"Founder, OOTT App",Entertainment,1-10 Employees,New Jersey
