Organization_name,Min. Project,Rating,Hourly_rate,Total_Employees,Locality,Region,Profile,Website,Mail,Phone,
Zudu," $10,000+ ",5,$100 - $149,"""2 - 9""","Dundee,",None,https://clutch.co/profile/zudu,http://www.zudu.co.uk,contact@zudu.co.uk,"
+44 1382 690 080 ",
SDI - Software Developers Inc," $1,000+ ",4.8,< $25,"""50 - 249""","Saratoga,",CA,https://clutch.co/profile/sdi-software-developers,https://softwaredevelopersindia.com,team@sdi.la,"
408.802.2885 ",
Creative360," $25,000+ ",4.9,$50 - $99,"""10 - 49""","New York,",NY,https://clutch.co/profile/creative360,https://creative360.co/?src=clutch,hello@creative360.co,"
917.809.8610 ",
ITgenerator ," $5,000+ ",5,$25 - $49,"""10 - 49""","Pozna,",None,https://clutch.co/profile/itgenerator,http://www.itgenerator.com/mobile-app-development/,office@itgenerator.com,"
+48 730 244 444 ",
Cloudsoft Mobile Inc.," $5,000+ ",4.8,$50 - $99,"""50 - 249""","New York,",NY,https://clutch.co/profile/cloudsoft-mobile,http://www.cloudsoftmobile.com,sales@cloudsoftmobile.com,"
855-283-4058 ",
Segue Technologies," $10,000+ ",5,$100 - $149,"""50 - 249""","Arlington,",VA,https://clutch.co/profile/segue-technologies,http://www.seguetech.com/,info@seguetech.com,"
703.549.8033 ",
4ire Labs," $10,000+ ",4.7,$25 - $49,"""10 - 49""","New York,",NY,https://clutch.co/profile/4ire-labs,http://4irelabs.com/,hp@4irelabs.com,"
+1 914 902 8110 ",
CodeIT," $25,000+ ",4.9,$25 - $49,"""50 - 249""","Kharkiv,",None,https://clutch.co/profile/codeit,https://codeit.us,sales@codeit.us,"
+38 099 925 6885 ",
Rocket Farm Studios," $10,000+ ",4.8,$150 - $199,"""10 - 49""","Boston,",MA,https://clutch.co/profile/rocket-farm-studios,http://www.rocketfarmstudios.com/,inquiries@rocketfarmstudios.com,"
617.463.9123 ",
UruIT," $25,000+ ",4.8,$25 - $49,"""50 - 249""","Montevideo,",None,https://clutch.co/profile/uruit,http://www.uruit.com,hello@uruit.com,"
+1 310 409 2021 ",
KitelyTech," $10,000+ ",4.9,None,"""50 - 249""","Chicago,",IL,https://clutch.co/profile/kitelytech,https://kitelytech.com,info@kitelytech.com,"
3312409155 ",
EL Passion," $5,000+ ",4.7,$50 - $99,"""50 - 249""","Warsaw,",None,https://clutch.co/profile/el-passion,http://www.elpassion.com,hello+clutch@elpassion.com,"
+48 792 541 588 ",
*instinctools," $5,000+ ",4.6,$25 - $49,"""250 - 999""","Stuttgart,",None,https://clutch.co/profile/instinctools,http://www.instinctools.eu,alena.beniash@instinctools.ru,"
49(0)711.6648.3690 ",
Wolfpack Digital," $5,000+ ",5,$25 - $49,"""10 - 49""","Cluj-Napoca,",None,https://clutch.co/profile/wolfpack-digital,http://wolfpack-digital.com/,contact@wolfpack-digital.com,"
+40 741 118 030 ",
NOGRAVITY," $1,000+ ",5,$25 - $49,"""10 - 49""","Cracow,",None,https://clutch.co/profile/nogravity,https://nogravity.io,hello@nogravity.io,"
(+48) 698 623 141 ",
DevelopmentNow," $5,000+ ",4.6,$100 - $149,"""10 - 49""","Portland,",OR,https://clutch.co/profile/developmentnow,http://developmentnow.com/clutch.php?utm_source=clutch&utm_medium=profile&utm_campaign=Clutch,hello@developmentnow.com,"
800.387.0849 ",
Swiss Commerce," $25,000+ ",5,$150 - $199,"""10 - 49""","Great Neck,",NY,https://clutch.co/profile/swiss-commerce,http://www.scbw.com,info@scbw.com,"
5163680201 ",
Blue Whale Apps," $10,000+ ",5,$100 - $149,"""10 - 49""","Boca Raton,",FL,https://clutch.co/profile/blue-whale-apps,http://www.bluewhaleapps.com/?utm_source=sourcingline&utm_medium=cpc&utm_campaign=SL,pathik@bluewhaleapps.com,"
561.753.0776 ",
Mobile and Web Solutions," $10,000+ ",5,< $25,"""10 - 49""","Indore,",None,https://clutch.co/profile/mobile-web-solutions,http://www.mobileandwebsolutions.com/,sales@mobileandwebsolutions.com,"
 ",
Spiria," $25,000+ ",4.8,$100 - $149,"""50 - 249""","Montreal,",None,https://clutch.co/profile/spiria,http://www.spiria.com,newproject@spiria.com,"
514-900-5076 ",
TriState Technology LLP," $5,000+ ",5,< $25,"""50 - 249""","Ahmedabad,",None,https://clutch.co/profile/tristate-technology-llp,http://www.tristatetechnology.com,sales@tristatetechnology.com,"
+91 7940034811 ",
Lets Nurture," $5,000+ ",4.9,$25 - $49,"""50 - 249""","New York,",NY,https://clutch.co/profile/lets-nurture,http://www.letsnurture.com,enquiry@letsnurture.com,"
+1-631-954-6922 ",
Ideal It Techno Pvt. Ltd., Undisclosed,5,$25 - $49,"""10 - 49""","Indore,",None,https://clutch.co/profile/ideal-it-techno,http://idealittechno.com/,pavanrathor@gmail.com,"
91.731.421.8192 ",
NS804," $25,000+ ",4.9,$50 - $99,"""10 - 49""","Richmond,",VA,https://clutch.co/profile/ns804,http://www.ns804.com,info@ns804.com,"
804.381.4877 ",
zGames, Undisclosed,4.8,$25 - $49,"""10 - 49""","Houston,",TX,https://clutch.co/profile/zgames,http://www.zgames.com,info@zgames.com,"
281.552.5005 ",
TECHTIC SOLUTIONS INC," $10,000+ ",4.8,$25 - $49,"""50 - 249""","New York,",NY,https://clutch.co/profile/techtic-solutions,https://www.techtic.com,info@techtic.com,"
201 793 8324 ",
Tmob Tech Inc., Undisclosed,5,$50 - $99,"""50 - 249""","Palo Alto,",CA,https://clutch.co/profile/tmob-tech,http://tmobtech.com,atahan@tmobtech.com,"
650.924.7233 ",
Mood Up team," $5,000+ ",5,$25 - $49,"""10 - 49""","Poznan,",None,https://clutch.co/profile/mood-team,http://moodup.team,pawel@moodup.team,"
+48 694 196 910 ",
RNF Technologies," $10,000+ ",4.7,$25 - $49,"""50 - 249""","Santa Monica,",CA,https://clutch.co/profile/rnf-technologies,https://www.rnftechnologies.com,contact@rnftechnologies.com,"
(888) 316-0750 ",
InnoviMobile Enterprise," $10,000+ ",4.9,$100 - $149,"""10 - 49""","Millburn/Short Hills,",NJ,https://clutch.co/profile/innovimobile-enterprise,https://innovimobile.com/get-free-estimate//?utm_source=Clutch,FastReply@innovimobile.com,"
646-588-0165 ",
echoinnovate IT," $10,000+ ",5,< $25,"""50 - 249""","North Plymouth,",MN,https://clutch.co/profile/echoinnovate-it,https://www.echoinnovateit.com,info@echoinnovateIT.com,"
386.675.0158 ",
Inheritx Solutions," $10,000+ ",4.8,< $25,"""50 - 249""","Bodakdev, Ahmedabad, Gujarat,",None,https://clutch.co/profile/inheritx-solutions,http://www.inheritx.com/,clutch@inheritx.com,"
+91.79.4003.3080 ",
Agilis Tech Labs," $10,000+ ",5,$25 - $49,"""10 - 49""","Los Angeles,",CA,https://clutch.co/profile/agilis-tech-labs,http://www.agilistechlabs.com,contact@agilistechlabs.com,"
(424) 252-1070 ",
TeliApp Corporation," $25,000+ ",5,$50 - $99,"""10 - 49""","Linden,",NJ,https://clutch.co/profile/teliapp-corporation,http://www.teliapp.com,development@teliapp.com,"
732-354-1773 ",
TWG," $50,000+ ",4.7,$150 - $199,"""50 - 249""","Toronto,",None,https://clutch.co/profile/twg,https://twg.io,hello@twg.io,"
416.850.2500 ",
Matsuu," $10,000+ ",4.9,$50 - $99,"""10 - 49""","Gdynia,",None,https://clutch.co/profile/matsuu,https://matsuu.com,info@matsuu.com,"
+48 58 712 81 50 ",
Andersen," $5,000+ ",4.6,$25 - $49,"""250 - 999""","Minsk,",None,https://clutch.co/profile/andersen,https://www.andersenlab.com,vn@andersenlab.com,"
+375 44 772 45 28 ",
Ingenia Agency," $10,000+ ",4.6,$25 - $49,"""50 - 249""","Mexico City,",None,https://clutch.co/profile/ingenia-agency,http://www.ingenia.com,info@ingenia.com,"
 ",
Logicspice Consultancy Pvt Ltd.," $5,000+ ",5,< $25,"""10 - 49""","Jaipur,",None,https://clutch.co/profile/logicspice-consultancy,https://www.logicspice.com/,info@logicspice.com,"
+91-141-4021056 ",
DockYard," $100,000+ ",5,$150 - $199,"""50 - 249""","Hingham,",MA,https://clutch.co/profile/dockyard,https://dockyard.com/,hello@dockyard.com,"
855.362.5973 ",
Geeks ," $25,000+ ",4.6,$200 - $300,"""50 - 249""","London,",None,https://clutch.co/profile/geeks,https://www.geeks.ltd.uk/,hello@geeks.ltd.uk,"
+44 0845 643 6229 ",
The Sneakers Agency," $25,000+ ",4.9,$100 - $149,"""10 - 49""","New York,",NY,https://clutch.co/profile/sneakers-agency,"http://sneakersagency,com",sales@sneakersagency.com,"
646.396.5193 ",
Iterando," $5,000+ ",4.9,$25 - $49,"""10 - 49""","Mexico City,",None,https://clutch.co/profile/iterando,http://iterando.mx/,hola@iterando.mx,"
(+52) 55 7026 3621 ",
Simform," $10,000+ ",5,$25 - $49,"""50 - 249""","Boston,",MA,https://clutch.co/profile/simform,http://www.simform.com,bd@simform.com,"
321-237-2727 ",
Rootstrap," $1,000+ ",4.9,$100 - $149,"""50 - 249""","Beverly Hills,",CA,https://clutch.co/profile/rootstrap,http://www.rootstrap.com,hello@rootstrap.com,"
310-954-1354 ",
iQlance Solutions," $5,000+ ",4.9,$50 - $99,"""10 - 49""","Toronto,",None,https://clutch.co/profile/iqlance,https://www.iqlance.com,info@iqlance.com,"
647 637 9108 ",
Artezio, Undisclosed,4.8,$25 - $49,"""250 - 999""","Princeton,",NJ,https://clutch.co/profile/artezio,https://www.artezio.com/,sales@artezio.com,"
+1(212)220-16-41 ",
"Cruxlab, Inc."," $25,000+ ",4.9,$50 - $99,"""10 - 49""","Los Angeles,",CA,https://clutch.co/profile/cruxlab,http://www.cruxlab.com/,hi@cruxlab.com,"
877.977.7996 ",
OneByte," $10,000+ ",5,$50 - $99,"""10 - 49""","Lahore,",None,https://clutch.co/profile/onebyte,https://onebytellc.com/,info@onebytellc.com,"
12025603123 ",
AB Mobile Apps, Undisclosed,5,None,"""2 - 9""","SEATTLE,",WA,https://clutch.co/profile/ab-mobile-apps,http://www.ABMobileApps.com,Info@ABMobileApps.com,"
866.882.2711 ",
Chili Labs," $10,000+ ",5,$50 - $99,"""10 - 49""","Riga,",None,https://clutch.co/profile/chili-labs,http://chi.lv,studio@chi.lv,"
+371 26668813 ",
Parafernalia Interativa, Undisclosed,4.8,None,"""10 - 49""","Rio de Janeiro,",None,https://clutch.co/profile/parafernalia-interativa,http://www.parafernalia.net.br/,contact@parafernalia.net.br,"
 ",
Clearly Innovative," $5,000+ ",5,$100 - $149,"""10 - 49""","Washington,",DC,https://clutch.co/profile/clearly-innovative,http://www.clearlyinnovative.com/,build@clearlyinnovative.com,"
202.408.7514 ",
Geeks Chicago," $5,000+ ",4.8,$50 - $99,"""10 - 49""","Prospect Heights,",IL,https://clutch.co/profile/geeks-chicago,https://www.geekschicago.com,support@geekschicago.com,"
773-250-6366 ",
Ackmann & Dickenson, Undisclosed,5,$100 - $149,"""50 - 249""","Minneapolis,",MN,https://clutch.co/profile/ackmann-dickenson,http://www.ackmanndickenson.com/,kevin@ackmanndickenson.com,"
612.486.5100 ",
Viget," $25,000+ ",5,$150 - $199,"""50 - 249""","Falls Church,",VA,https://clutch.co/profile/viget,https://www.viget.com/,business@viget.com,"
703.891.0670 ",
Solution Analysts," $5,000+ ",4.5,< $25,"""50 - 249""","Delmar,",DE,https://clutch.co/profile/solution-analysts,https://www.solutionanalysts.com,sales@solutionanalysts.com,"
+1 732 927-5544 ",
ITRex Group," $10,000+ ",4.8,$25 - $49,"""50 - 249""","Minsk,",None,https://clutch.co/profile/itrex-group,http://itrexgroup.com,hello@itrexgroup.com,"
+375296492496 ",
Novatore Solutions Pvt. Ltd.," $5,000+ ",5,$25 - $49,"""10 - 49""","Lahore,",None,https://clutch.co/profile/novatore-solutions,http://www.novatoresols.com/,info@novatoresols.com,"
+923238430740 ",
White Widget, Undisclosed,4.6,$25 - $49,"""10 - 49""","Quezon City,",None,https://clutch.co/profile/white-widget,http://whitewidget.com/,hello@whitewidget.com,"
+63 (2) 9667220 ",
Clavax," $5,000+ ",4.2,$25 - $49,"""50 - 249""","San Jose,",CA,https://clutch.co/profile/clavax,http://www.clavax.com/,Deepak.tomar@clavax.com,"
844.425.2829 ",
Smashing Ideas, Undisclosed,5,None,"""50 - 249""","Seattle,",WA,https://clutch.co/profile/smashing-ideas,http://smashingideas.com,busdev@smashingideas.com,"
206.378.0100 ",
Jackrabbit Mobile," $10,000+ ",5,$150 - $199,"""10 - 49""","Austin,",TX,https://clutch.co/profile/jackrabbit-mobile,http://www.jackrabbitmobile.com,advisors@jackrabbitmobile.com,"
 ",
Creole Studios," $10,000+ ",4.7,$25 - $49,"""10 - 49""","Singapore,",None,https://clutch.co/profile/creole-studios,https://creolestudios.com,hello@creolestudios.com,"
+6531586249 ",
Intelegain Technologies," $10,000+ ",4.9,$25 - $49,"""50 - 249""","Dallas,",TX,https://clutch.co/profile/intelegain-technologies,https://www.intelegain.com,contactus@intelegain.com,"
(214) 233-0880 ",
intive, Undisclosed,4,$50 - $99,"""1,000 - 9,999""","Wrocaw,",None,https://clutch.co/profile/intive,http://www.intive.com,business@intive.com,"
+48 506 164 045 ",
Savvycom Software," $50,000+ ",4.8,None,"""50 - 249""","Hanoi,",None,https://clutch.co/profile/savvycom-software,http://www.savvycomsoftware.com,contact@savvycomsoftware.com,"
+84 24 3202 9222 ",
DevMynd," $100,000+ ",4.9,$150 - $199,"""10 - 49""","Chicago,",IL,https://clutch.co/profile/devmynd,http://www.devmynd.com/,hello@devmynd.com,"
773.492.0209 ",
Tivix," $100,000+ ",4.9,$100 - $149,"""50 - 249""","San Francisco,",CA,https://clutch.co/profile/tivix,http://www.tivix.com/,connect@tivix.com,"
415.680.1299 ",
AppliKey Solutions," $10,000+ ",4.9,$25 - $49,"""50 - 249""","Kharkiv,",None,https://clutch.co/profile/applikey-solutions,http://applikeysolutions.com,welcome@applikeysolutions.com,"
+16504339005 ",
Arck Interactive ," $10,000+ ",4.9,$100 - $149,"""10 - 49""","Portland,",OR,https://clutch.co/profile/arck-interactive,http://www.arckinteractive.com,info@arckinteractive.com,"
312-212-3867 ",
WebMob Technologies," $5,000+ ",4.8,< $25,"""10 - 49""","Ahmedabad,",None,https://clutch.co/profile/webmob-technologies,https://webmobtech.com,pjain@webmobtech.com,"
91.989.891.5212 ",
Samsao," $50,000+ ",4.5,$100 - $149,"""10 - 49""","Montreal,",None,https://clutch.co/profile/samsao,https://samsao.co/,contact@samsao.co,"
+1-888-649-4206 ",
Square63," $5,000+ ",4.8,$25 - $49,"""10 - 49""","Dublin,",CA,https://clutch.co/profile/square63,http://www.square63.com,baber.javed@square63.com,"
+1 (415) 935-4424 ",
OMSOFTWARE PVT LTD," $5,000+ ",4.4,< $25,"""250 - 999""","Brighton,",CO,https://clutch.co/profile/omsoftware,http://www.omsoftware.net,raj@omscorps.com,"
303.586.1318 / 818.433.4047 ",
B60," $25,000+ ",4.5,$150 - $199,"""10 - 49""","Leamington Spa,",None,https://clutch.co/profile/b60,http://www.b60apps.co.uk,hello@b60apps.co.uk,"
+44 121 405 0270 ",
Pieoneers," $50,000+ ",4.6,$100 - $149,"""10 - 49""","Vancouver,",None,https://clutch.co/profile/pieoneers,http://pieoneers.com/,hi@pieoneers.com,"
604.710.2407 ",
App-Scoop," $10,000+ ",4.8,$50 - $99,"""10 - 49""","Vancouver,",None,https://clutch.co/profile/app-scoop,http://www.app-scoop.com/,info@app-scoop.com,"
+1 800-392-8188 ",
Movel," $10,000+ ",5,$150 - $199,"""10 - 49""","Sterling,",VA,https://clutch.co/profile/movel,http://www.movel.co,info@movel.co,"
571.317.1734  ",
Exyte," $10,000+ ",5,$50 - $99,"""10 - 49""","Novosibirsk,",None,https://clutch.co/profile/exyte,https://exyte.com/,info@exyte.com,"
+7 983 320 41 22 ",
Systango Technologies," $5,000+ ",4.9,$25 - $49,"""50 - 249""","London,",None,https://clutch.co/profile/systango-technologies,http://www.systango.com/,hello@systango.com,"
+44-208 1445224 ",
MoveoApps," $1,000+ ",5,< $25,"""10 - 49""","San Diego,",CA,https://clutch.co/profile/moveoapps,http://www.moveoapps.com/,info@moveoapps.com,"
+1 619-822-2279 ",
Code Brew Labs," $10,000+ ",4.5,$25 - $49,"""50 - 249""","Chandigarh,",None,https://clutch.co/profile/code-brew-labs,http://www.code-brew.com,business@code-brew.com,"
+917508367914 ",
TkXel," $25,000+ ",5,$50 - $99,"""50 - 249""","Reston,",VA,https://clutch.co/profile/tkxel,http://www.tkxel.com,services@tkxel.com,"
703.251.4810 ",
Thiken," $25,000+ ",4.8,$100 - $149,"""10 - 49""","Austin,",TX,https://clutch.co/profile/thiken,http://thiken.com,hello@thiken.com,"
701 541-0044 ",
ElateSoftware," $5,000+ ",5,< $25,"""10 - 49""","Minsk,",None,https://clutch.co/profile/elatesoftware,http://elatesoftware.com,info@elatesoftware.com,"
+375-17-388-18-28 ",
Dedicated Developers," $5,000+ ",5,$50 - $99,"""50 - 249""","Alpharetta,",GA,https://clutch.co/profile/dedicated-developers,http://www.DedicatedDevelopers.com,inquiry@dedicateddevelopers.com,"
770-274-4482 ",
Yudiz Solutions," $10,000+ ",5,< $25,"""50 - 249""","Ahmedabad,",None,https://clutch.co/profile/yudiz-solutions,http://www.yudiz.com,contact@yudiz.com,"
91.79.6513.0111 ",
Emerge Interactive," $25,000+ ",4.8,$150 - $199,"""10 - 49""","Portland,",OR,https://clutch.co/profile/emerge-interactive,http://www.emergeinteractive.com,info@emergeinteractive.com,"
503.922.3483 ",
Mobi Lab, Undisclosed,5,$50 - $99,"""10 - 49""","Tartu,",None,https://clutch.co/profile/mobi-lab,http://lab.mobi,andres.gallardo@lab.mobi,"
+3725214941 ",
Aubergine Solutions Pvt. Ltd.," $5,000+ ",4.8,$25 - $49,"""10 - 49""","Ahmedabad,",None,https://clutch.co/profile/aubergine-solutions,http://www.auberginesolutions.com,hello@auberginesolutions.com,"
+917567110560 ",
GSBitLabs," $10,000+ ",5,< $25,"""10 - 49""","Victoria,",None,https://clutch.co/profile/gsbitlabs,http://www.gsbitlabs.com.au,gagandeep@gsbitlabs.com,"
450914478 ",
FocalCode," $25,000+ ",4.5,$25 - $49,"""50 - 249""","Chandigarh,",None,https://clutch.co/profile/focalcode,http://www.focalcode.com/,hi@focalcode.com,"
 ",
WebPlanex Infotech Pvt Ltd," $5,000+ ",4.8,$25 - $49,"""50 - 249""","Ahmedabad ,",None,https://clutch.co/profile/webplanex-infotech,http://www.webplanex.com/,info@webplanex.com,"
+919978819397 ",
Roll'n'Code," $10,000+ ",4.8,$25 - $49,"""10 - 49""","Zaporizhya,",None,https://clutch.co/profile/rollncode,http://rollncode.com,hello@rollncode.com,"
 ",
Yeeply Mobile," $5,000+ ",4.9,$50 - $99,"""10 - 49""","London,",None,https://clutch.co/profile/yeeply-mobile,https://en.yeeply.com,fer@yeeply.com,"
+44 800 808 5887 ",
Attract Group," $5,000+ ",5,$25 - $49,"""10 - 49""","Odessa,",None,https://clutch.co/profile/attract-group,http://attractgroup.com,sales@attractgroup.com,"
+380503473055 ",
SwiftKick Mobile," $5,000+ ",4.8,$100 - $149,"""2 - 9""","Austin,",TX,https://clutch.co/profile/swiftkick-mobile,http://www.swiftkickmobile.com,hello@swiftkickmobile.com,"
512.649.0615 ",
IdeaPlunge Solutions LLP," $5,000+ ",5,$25 - $49,"""50 - 249""","Bangalore,",None,https://clutch.co/profile/ideaplunge-solutions-llp,http://ideaplunge.com/,talktous@ideaplunge.com,"
+91 8043709684 ",
Archbolt," $50,000+ ",5,$100 - $149,"""10 - 49""","New York,",NY,https://clutch.co/profile/archbolt,http://Archbolt.com,team@archbolt.com,"
646-580-6172 ",
Ripe Media," $10,000+ ",4.9,$100 - $149,"""10 - 49""","Los Angeles,",CA,https://clutch.co/profile/ripe-media,http://www.ripemedia.com,getmore@ripemedia.com,"
323.882.6874 ",
Osellus Mobile," $25,000+ ",5,$50 - $99,"""10 - 49""","Toronto,",None,https://clutch.co/profile/osellus-mobile,http://www.osellus-mobile.com/,omid@osellus-mobile.com,"
416.603.6667 ",
Sigma Software," $10,000+ ",4.5,$25 - $49,"""250 - 999""","Kharkiv,",None,https://clutch.co/profile/sigma-software,https://sigma.software/#utm_source=clutch.co,info@sigma.software,"
+380 (57) 7660159 ",
Perpetual," $25,000+ ",4.8,$100 - $149,"""10 - 49""","New York,",NY,https://clutch.co/profile/perpetual,http://www.perpetualny.com,info@perpetualny.com,"
212-904-1497 ",
Heady ," $50,000+ ",4.9,$100 - $149,"""10 - 49""","Brooklyn,",NY,https://clutch.co/profile/heady,http://www.heady.io,info@heady.io,"
646.480.0489 ",
Mobter," $10,000+ ",5,$50 - $99,"""10 - 49""","Warsaw,",None,https://clutch.co/profile/mobter,http://www.mobter.com,hello@mobter.com,"
+48 22 100 67 20 ",
Holdapp, Undisclosed,4.8,$25 - $49,"""10 - 49""","Wrocaw,",None,https://clutch.co/profile/holdapp,http://holdapp.com,contact@holdapp.pl,"
+48 694 914 857 ",
Hashrocket," $25,000+ ",5,$150 - $199,"""10 - 49""","Chicago,",IL,https://clutch.co/profile/hashrocket,http://hashrocket.com/,info@hashrocket.com,"
1.877.885.8846 ",
FULLeSTOP," $5,000+ ",4.6,$25 - $49,"""50 - 249""","Jaipur,",None,https://clutch.co/profile/fullestop,http://www.fullestop.com/,info@fullestop.com,"
+911414045555 ",
Daxima," $25,000+ ",5,$100 - $149,"""50 - 249""","Orinda,",CA,https://clutch.co/profile/daxima,https://www.daxima.com,sales@daxima.com,"
925.885.1972 ",
Hathway," $10,000+ ",5,$150 - $199,"""50 - 249""","San Luis Obispo,",CA,https://clutch.co/profile/hathway,http://www.wearehathway.com/,hello@wearehathway.com,"
805.265.6863 ",
Mindster," $1,000+ ",4.5,< $25,"""10 - 49""","kozhikode,",None,https://clutch.co/profile/mindster,http://mindster.in/,info@mindster.in,"
9895155586 ",
Softnauts," $5,000+ ",4.8,$25 - $49,"""10 - 49""","Krakw,",None,https://clutch.co/profile/softnauts,http://www.softnauts.com,contact@softnauts.com,"
+48 690 019 841 ",
VRG Soft," $5,000+ ",5,< $25,"""10 - 49""","Dnipro,",None,https://clutch.co/profile/vrg-soft,http://vrgsoft.net,pawlo2102@gmail.com,"
 ",
OptiSol Business Solutions," $5,000+ ",4.6,< $25,"""50 - 249""","Strongsville,",OH,https://clutch.co/profile/optisol-business-solutions,http://www.optisolbusiness.com,info@optisolbusiness.com,"
+1 (415) 233-4737 ",
VISLA," $5,000+ ",4.9,$25 - $49,"""10 - 49""","Warsaw,",None,https://clutch.co/profile/visla,http://www.visla.co,hello@visla.co,"
+48.222.085.582 ",
L+R," $25,000+ ",5,$200 - $300,"""10 - 49""","Brooklyn,",NY,https://clutch.co/profile/lr,http://www.levinriegner.com,julia@levinriegner.com,"
347.709.2428 ",
Net Solutions ," $10,000+ ",4.8,$25 - $49,"""50 - 249""","Chandigarh,",None,https://clutch.co/profile/net-solutions,http://www.netsolutions.com/clutch,info@netsolutions.com,"
+91 (172) 431-5000 ",
Noto Solutions," $5,000+ ",5,$25 - $49,"""50 - 249""","Edmonton,",None,https://clutch.co/profile/noto-solutions,http://www.notosolutions.com,info@notosolutions.com,"
+1 407 459 7983 ",
Apptitude," $50,000+ ",5,$100 - $149,"""2 - 9""","New Orleans,",LA,https://clutch.co/profile/apptitude,https://apptitude.io,hey@apptitude.io,"
1.800.504.0569 ",
DOIT Software," $5,000+ ",4.9,$25 - $49,"""10 - 49""","Boston,",MA,https://clutch.co/profile/doit-software,http://doit.software,b.biblaia@doit.software,"
929 999 18 25 ",
Topflight Apps," $25,000+ ",5,$50 - $99,"""10 - 49""","Laguna Beach,",CA,https://clutch.co/profile/topflight-apps,http://www.topflightapps.com,info@Topflightapps.com,"
909-576-7898 ",
Innoppl," $5,000+ ",4.5,$50 - $99,"""50 - 249""","Atlanta,",GA,https://clutch.co/profile/innoppl,http://innopplinc.com,,"
310.279.6584 ",
TVS Next Private Limited," $10,000+ ",5,$25 - $49,"""250 - 999""","New York,",NY,https://clutch.co/profile/tvs-next-private,http://www.tvsnext.io,marketing@tvsnext.io,"
 ",
Dynamic Leap," $25,000+ ",5,$100 - $149,"""2 - 9""","Vancouver,",None,https://clutch.co/profile/dynamic-leap,https://dynamic-leap.com,info@dynamic-leap.com,"
1-888-983-7398 ",
Snowman Labs, Undisclosed,4.8,$50 - $99,"""10 - 49""","Curitiba,",None,https://clutch.co/profile/snowman-labs,http://www.snowmanlabs.com,social@snowmanlabs.com,"
+55 (41) 3027-7669 ",
APPEK Mobile Apps, Undisclosed,4.9,$150 - $199,"""10 - 49""","Wilkes Barre,",PA,https://clutch.co/profile/appek-mobile-apps,https://appekapps.com/new-clutch/,kris@appekapps.com,"
877.217.2452 ",
Koombea," $50,000+ ",4.8,None,"""50 - 249""","Barranquilla,",None,https://clutch.co/profile/koombea,http://www.koombea.com/,contact@koombea.com,"
+57 (5) 316-1057 ",
Naked Development," $50,000+ ",5,None,"""10 - 49""","Irvine,",CA,https://clutch.co/profile/naked-development,http://www.nakeddev.com,Hi@nakeddev.com,"
949.214.4003 ",
ustwo studio," $50,000+ ",4.5,$150 - $199,"""50 - 249""","London,",None,https://clutch.co/profile/ustwo-studio,https://www.ustwo.com,hello@ustwo.com,"
+44.20.3222.0960 ",
IPHS Technologies LLP," $50,000+ ",None,$50 - $99,"""50 - 249""","Lucknow,",None,https://clutch.co/profile/iphs-technologies-llp,http://iphtechnologies.com,info@iphtechnologies.com,"
91.52.2495.0494 ",
CTI Digital," $10,000+ ",4,$100 - $149,"""50 - 249""","Manchester,",None,https://clutch.co/profile/cti-digital,http://www.ctidigital.com/,hello@ctidigital.com,"
+44 84 5620 0014 ",
Ebbex," $10,000+ ",4.7,$100 - $149,"""2 - 9""","Redding,",CA,https://clutch.co/profile/ebbex,http://ebbex.com/,mikka.olsson@ebbex.com,"
770.855.8600 ",
Zazmic Inc.," $5,000+ ",4.8,$25 - $49,"""250 - 999""","San Francisco,",CA,https://clutch.co/profile/zazmic,http://www.zazmic.com/,sales@zazmic.com,"
415.728.1621 ",
Cadabra Studio," $5,000+ ",5,$50 - $99,"""10 - 49""","Dnipro,",None,https://clutch.co/profile/cadabra-studio,http://cadabra.studio/,cadabra.info@gmail.com,"
 ",
OnGraph Technologies Corporation," $5,000+ ",4.8,$25 - $49,"""50 - 249""","Hicksville,",None,https://clutch.co/profile/ongraph-technologies-corporation,http://www.ongraph.com,salesteam@ongraph.com,"
647-295-4243 ",
Magneto IT Solutions," $1,000+ ",4.9,$25 - $49,"""50 - 249""","Las Vegas ,",NV,https://clutch.co/profile/magneto-it-solutions,https://magnetoitsolutions.com/,info@magnetoitsolutions.com,"
214-447-0720 ",
First Line Software, Undisclosed,5,None,"""250 - 999""","Cambridge,",MA,https://clutch.co/profile/first-line-software,https://firstlinesoftware.com/,sales@firstlinesoftware.com,"
(877)737-7178 ",
Gomeeki," $25,000+ ",4.8,$100 - $149,"""10 - 49""","Sydney,",None,https://clutch.co/profile/gomeeki,http://gomeeki.com,enquiries@gomeeki.com,"
+61.0.2.8263.0000 ",
HyperSense Software," $5,000+ ",4.9,$25 - $49,"""10 - 49""","Bucharest,",None,https://clutch.co/profile/hypersense-software,https://hypersense-software.com,office@hypersense-software.com,"
+40 726 848490 ",
IrishApps," $10,000+ ",4.7,$25 - $49,"""10 - 49""","Galway,",None,https://clutch.co/profile/irishapps,http://www.irishapps.org/,cathal@irishapps.org,"
+35391452131 ",
Appetizer Mobile," $10,000+ ",4.9,$50 - $99,"""10 - 49""","New York,",NY,https://clutch.co/profile/appetizer-mobile,http://www.appetizermobile.com/,GetStarted@AppetizerMobile.com,"
212.613.1600 ",
